级别,函数名,包含性样本,排除性样本,包含性样本 %,排除性样本 %,模块名,
0,"ZBYGate Data Collection.exe","34,886",0,100.00,0.00,"",
0,"[WTY.dll]","28,865",119,82.74,0.34,"WTY.dll",
1,"[msvcrt.dll]","27,312","27,312",78.29,78.29,"msvcrt.dll",
1,"[ws2_32.dll]","1,249","1,249",3.58,3.58,"ws2_32.dll",
1,"[KernelBase.dll]",168,168,0.48,0.48,"KernelBase.dll",
1,"[ntdll.dll]",10,10,0.03,0.03,"ntdll.dll",
1,"[mswsock.dll]",4,4,0.01,0.01,"mswsock.dll",
1,"[kernel32.dll]",3,3,0.01,0.01,"kernel32.dll",
0,"ZBYGate_Data_Collection.Program.Main","5,748",0,16.48,0.00,"ZBYGate Data Collection.exe",
1,"[System.Windows.Forms.ni.dll]","5,748",971,16.48,2.78,"System.Windows.Forms.ni.dll",
2,"ZBYGate_Data_Collection.Form1.LocalDataWindowShow_Click","4,533",0,12.99,0.00,"ZBYGate Data Collection.exe",
3,"ZBYGate_Data_Collection.Form1.SetTabPate","4,167",0,11.94,0.00,"ZBYGate Data Collection.exe",
4,"[System.Windows.Forms.ni.dll]","4,166","4,166",11.94,11.94,"System.Windows.Forms.ni.dll",
4,"[clr.dll]",1,1,0.00,0.00,"clr.dll",
3,"ZBYGate_Data_Collection.LocalDataBase.LocalDataBaseWindow..ctor",364,0,1.04,0.00,"ZBYGate Data Collection.exe",
4,"ZBYGate_Data_Collection.LocalDataBase.LocalDataBaseWindow.Init",274,0,0.79,0.00,"ZBYGate Data Collection.exe",
5,"ZBYGate_Data_Collection.LocalDataBase.MySqlHelper.GetDataSet",255,0,0.73,0.00,"ZBYGate Data Collection.exe",
6,"ZBYGate_Data_Collection.LocalDataBase.MySqlHelper.PrepareCommand",183,0,0.52,0.00,"ZBYGate Data Collection.exe",
7,"MySql.Data.MySqlClient.MySqlConnection.Open",180,0,0.52,0.00,"MySql.Data.dll",
8,"MySql.Data.MySqlClient.Driver.Configure",81,0,0.23,0.00,"MySql.Data.dll",
9,"MySql.Data.MySqlClient.MySqlCommand.ExecuteReader",41,0,0.12,0.00,"MySql.Data.dll",
10,"MySql.Data.MySqlClient.MySqlCommand.ExecuteReader",34,0,0.10,0.00,"MySql.Data.dll",
11,"MySql.Data.MySqlClient.MySqlDataReader.NextResult",18,0,0.05,0.00,"MySql.Data.dll",
