类型,根函数名,函数名,包含性样本,排除性样本,包含性样本 %,排除性样本 %,
"Root","[borlndmm.dll]","[borlndmm.dll]",6,3,0.02,0.01,
"Caller","[borlndmm.dll]","[LedDynamicArea.dll]",6,3,0.02,0.01,
"Callee","[borlndmm.dll]","[ntdll.dll]",3,3,0.01,0.01,
"Root","[clr.dll]","[clr.dll]",279,252,0.80,0.72,
"Caller","[clr.dll]","[VeconClientProj.ocx]",30,1,0.09,0.00,
"Caller","[clr.dll]","AxVeconclientProj.AxVECONclient.RaiseOnOnServerDisconnected",1,1,0.00,0.00,
"Caller","[clr.dll]","dynamicClass.IL_STUB_CLRtoCOM",13,13,0.04,0.04,
"Caller","[clr.dll]","log4net.Appender.AppenderSkeleton.Close",1,1,0.00,0.00,
"Caller","[clr.dll]","log4net.Core.LoggerManager.Shutdown",1,1,0.00,0.00,
"Caller","[clr.dll]","log4net.Core.WrapperMap.ILoggerRepository_Shutdown",1,1,0.00,0.00,
"Caller","[clr.dll]","log4net.Plugin.PluginCollection.EnsureCapacity",1,1,0.00,0.00,
"Caller","[clr.dll]","log4net.Repository.Hierarchy.Hierarchy.Shutdown",2,2,0.01,0.01,
"Caller","[clr.dll]","log4net.Repository.Hierarchy.Logger.CloseNestedAppenders",2,2,0.01,0.01,
"Caller","[clr.dll]","MySql.Data.Common.MySqlTokenizer.NextToken",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.Common.MySqlTokenizer.ReadUnquotedToken",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.Common.StreamCreator.GetStream",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.Authentication.AuthenticationPluginManager..cctor",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.Authentication.AuthenticationPluginManager.GetPlugin",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.Authentication.MySqlAuthenticationPlugin.Authenticate",5,5,0.01,0.01,
"Caller","[clr.dll]","MySql.Data.MySqlClient.Authentication.MySqlAuthenticationPlugin.ContinueAuthentication",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.Authentication.MySqlAuthenticationPlugin.GetPlugin",8,7,0.02,0.02,
"Caller","[clr.dll]","MySql.Data.MySqlClient.Authentication.MySqlAuthenticationPlugin.WritePassword",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.Authentication.MySqlNativePasswordPlugin.GetPassword",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.CharSetMap.InitializeMapping",7,7,0.02,0.02,
"Caller","[clr.dll]","MySql.Data.MySqlClient.Driver.CloseQuery",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.Driver.Configure",10,3,0.03,0.01,
"Caller","[clr.dll]","MySql.Data.MySqlClient.Driver.Create",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.Driver.Dispose",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.Driver.GetResult",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.Driver.GetTimeZoneOffset",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.Driver.LoadServerProperties",2,2,0.01,0.01,
"Caller","[clr.dll]","MySql.Data.MySqlClient.Driver.NextResult",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.Driver.Open",2,2,0.01,0.01,
"Caller","[clr.dll]","MySql.Data.MySqlClient.Driver.ReportWarnings",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlBaseConnectionStringBuilder..cctor",2,2,0.01,0.01,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlBaseConnectionStringBuilder..ctor",2,2,0.01,0.01,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlBaseConnectionStringBuilder.get_Server",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlCommand..ctor",2,2,0.01,0.01,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlCommand.Close",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlCommand.ExecuteReader",9,9,0.03,0.03,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlCommand.ExecuteReader",7,7,0.02,0.02,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlCommand.ExecuteScalar",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlCommand.Finalize",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlCommand.set_Connection",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlConnection..cctor",3,3,0.01,0.01,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlConnection..ctor",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlConnection..ctor",5,2,0.01,0.01,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlConnection.CloseFully",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlConnection.Open",13,13,0.04,0.04,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlConnection.set_ConnectionString",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlConnectionStringBuilder..cctor",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlConnectionStringBuilder.set_Item",2,2,0.01,0.01,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlConnectionStringOption..ctor",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlConnectionStringOption+<>c.<.ctor>b__6_0",2,2,0.01,0.01,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlDataReader.Close",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlDataReader.Dispose",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlDataReader.GetFieldValue",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlDataReader.GetOrdinal",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlDataReader.GetString",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlDataReader.GetValue",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlDataReader.NextResult",2,2,0.01,0.01,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlDataReader.Read",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlField.GetValueObject",4,4,0.01,0.01,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlField.SetTypeAndFlags",2,2,0.01,0.01,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlPacket.ReadInteger",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlPacket.WriteLenString",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlParameterCollection..ctor",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlPool..ctor",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlPool.CreateNewPooledConnection",2,2,0.01,0.01,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlPool.GetConnection",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlPool.GetPooledConnection",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlPool.ReleaseConnection",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlPoolManager.ClearPoolByText",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlPoolManager.EnsureClearingPools",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlPoolManager.GetPool",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlStream..ctor",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlStream.ReadFully",2,2,0.01,0.01,
"Caller","[clr.dll]","MySql.Data.MySqlClient.MySqlStream.ReadPacket",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.NativeDriver.Authenticate",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.NativeDriver.GetColumnData",3,3,0.01,0.01,
"Caller","[clr.dll]","MySql.Data.MySqlClient.NativeDriver.GetColumnsData",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.NativeDriver.Open",6,6,0.02,0.02,
"Caller","[clr.dll]","MySql.Data.MySqlClient.NativeDriver.ReadColumnValue",4,4,0.01,0.01,
"Caller","[clr.dll]","MySql.Data.MySqlClient.NativeDriver.SendQuery",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.NativeDriver.SetConnectionFlags",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.PreparableStatement.Execute",3,3,0.01,0.01,
"Caller","[clr.dll]","MySql.Data.MySqlClient.PreparableStatement.ExecuteNext",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.ResultSet..ctor",2,2,0.01,0.01,
"Caller","[clr.dll]","MySql.Data.MySqlClient.ResultSet.Close",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.ResultSet.LoadColumns",2,2,0.01,0.01,
"Caller","[clr.dll]","MySql.Data.MySqlClient.ResultSet.ReadColumnData",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.MySqlClient.Statement.BindParameters",2,2,0.01,0.01,
"Caller","[clr.dll]","MySql.Data.Types.MySqlDateTime.MySql.Data.Types.IMySqlValue.ReadValue",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.Types.MySqlString.MySql.Data.Types.IMySqlValue.ReadValue",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.Types.MySqlTimeSpan.MySql.Data.Types.IMySqlValue.ReadValue",1,1,0.00,0.00,
"Caller","[clr.dll]","MySql.Data.Types.MySqlUInt32.MySql.Data.Types.IMySqlValue.ReadValue",1,1,0.00,0.00,
"Caller","[clr.dll]","WG3000_COMM.Core.wgUdpServerCom.DealRuninfoPacketProc",2,2,0.01,0.01,
"Caller","[clr.dll]","ZBYGate_Data_Collection.Container.Container._AxVECONclient_OnServerDisconnected",1,1,0.00,0.00,
"Caller","[clr.dll]","ZBYGate_Data_Collection.Container.Container.LinkCallBack",1,1,0.00,0.00,
"Caller","[clr.dll]","ZBYGate_Data_Collection.Form1._Gate_NewState",1,1,0.00,0.00,
"Caller","[clr.dll]","ZBYGate_Data_Collection.Form1.LocalDataWindowShow_Click",2,2,0.01,0.01,
"Caller","[clr.dll]","ZBYGate_Data_Collection.Form1.SetTabPate",1,1,0.00,0.00,
"Caller","[clr.dll]","ZBYGate_Data_Collection.Gate.Gate.DoorSatus",3,3,0.01,0.01,
"Caller","[clr.dll]","ZBYGate_Data_Collection.Gate.Gate.GetStatus",1,1,0.00,0.00,
"Caller","[clr.dll]","ZBYGate_Data_Collection.Https.HttpWindow..ctor",5,5,0.01,0.01,
"Caller","[clr.dll]","ZBYGate_Data_Collection.Https.HttpWindow.InitializeComponent",1,1,0.00,0.00,
"Caller","[clr.dll]","ZBYGate_Data_Collection.LocalDataBase.LocalDataBaseWindow..ctor",18,17,0.05,0.05,
"Caller","[clr.dll]","ZBYGate_Data_Collection.LocalDataBase.LocalDataBaseWindow.Init",14,14,0.04,0.04,
"Caller","[clr.dll]","ZBYGate_Data_Collection.LocalDataBase.MySqlHelper..cctor",1,1,0.00,0.00,
"Caller","[clr.dll]","ZBYGate_Data_Collection.LocalDataBase.MySqlHelper.GetDataSet",16,12,0.05,0.03,
"Caller","[clr.dll]","ZBYGate_Data_Collection.LocalDataBase.MySqlHelper.PrepareCommand",3,3,0.01,0.01,
"Caller","[clr.dll]","ZBYGate_Data_Collection.Plate.Plate.CallbackFuntion",1,1,0.00,0.00,
"Caller","[clr.dll]","ZBYGate_Data_Collection.Plate.Plate.Dispose",1,1,0.00,0.00,
"Caller","[clr.dll]","ZBYGate_Data_Collection.Plate.Plate.PlateStartLink",1,1,0.00,0.00,
"Caller","[clr.dll]","ZBYGate_Data_Collection.Plate.Plate.RS485Send",1,1,0.00,0.00,
"Caller","[clr.dll]","ZBYGate_Data_Collection.Working.OutLedDefaultShowCallBack",1,1,0.00,0.00,
"Callee","[clr.dll]","AxVeconclientProj.AxVECONclient.RaiseOnOnServerDisconnected",14,0,0.04,0.00,
"Callee","[clr.dll]","AxVeconclientProj.AxVECONclient.RaiseOnOnServerError",15,0,0.04,0.00,
"Callee","[clr.dll]","MySql.Data.MySqlClient.Authentication.AuthenticationPluginManager..cctor",1,0,0.00,0.00,
"Callee","[clr.dll]","MySql.Data.MySqlClient.CharSetMap.InitializeMapping",7,0,0.02,0.00,
"Callee","[clr.dll]","MySql.Data.MySqlClient.MySqlBaseConnectionStringBuilder..cctor",3,0,0.01,0.00,
"Callee","[clr.dll]","MySql.Data.MySqlClient.MySqlConnection..cctor",3,0,0.01,0.00,
"Callee","[clr.dll]","MySql.Data.MySqlClient.MySqlConnectionStringBuilder..cctor",1,0,0.00,0.00,
"Callee","[clr.dll]","ZBYGate_Data_Collection.LocalDataBase.MySqlHelper..cctor",1,0,0.00,0.00,
"Root","[combase.dll]","[combase.dll]",32,30,0.09,0.09,
"Caller","[combase.dll]","[fastprox.dll]",10,9,0.03,0.03,
"Caller","[combase.dll]","[msctfuimanager.dll]",10,9,0.03,0.03,
"Caller","[combase.dll]","[UIAutomationCore.dll]",2,2,0.01,0.01,
"Caller","[combase.dll]","[wbemprox.dll]",11,9,0.03,0.03,
"Caller","[combase.dll]","dynamicClass.IL_STUB_CLRtoCOM",1,1,0.00,0.00,
"Callee","[combase.dll]","[fastprox.dll]",3,0,0.01,0.00,
"Callee","[combase.dll]","[LedDynamicArea.dll]",1,1,0.00,0.00,
