名称,包含性样本,排除性样本,包含性样本 %,排除性样本 %,
"msvcrt.dll","27,312","27,312",78.29,78.29,
"System.Windows.Forms.ni.dll","5,753","5,330",16.49,15.28,
"ws2_32.dll","1,251","1,251",3.59,3.59,
"clr.dll",279,252,0.80,0.72,
"KernelBase.dll",179,178,0.51,0.51,
"mscorlib.ni.dll",179,167,0.51,0.48,
"WTY.dll","28,886",140,82.80,0.40,
"System.ni.dll",53,53,0.15,0.15,
"user32.dll",52,52,0.15,0.15,
"combase.dll",32,30,0.09,0.09,
"System.Data.ni.dll",43,27,0.12,0.08,
"n3kAdrtB.dll",132,22,0.38,0.06,
"ntdll.dll",29,22,0.08,0.06,
"System.Transactions.ni.dll",13,13,0.04,0.04,
"LedDynamicArea.dll",62,8,0.18,0.02,
"MySql.Data.dll",227,5,0.65,0.01,
"kernel32.dll",4,4,0.01,0.01,
"mswsock.dll",4,4,0.01,0.01,
"borlndmm.dll",6,3,0.02,0.01,
"oleaut32.dll",3,3,0.01,0.01,
"rpcrt4.dll",6,2,0.02,0.01,
"SHCore.dll",2,2,0.01,0.01,
"dui70.dll",19,1,0.05,0.00,
"DWrite.dll",1,1,0.00,0.00,
"fastprox.dll",12,1,0.03,0.00,
"log4net.dll",24,1,0.07,0.00,
"System.Core.ni.dll",1,1,0.00,0.00,
"win32u.dll",1,1,0.00,0.00,
"AxInterop.VeconclientProj.dll",43,0,0.12,0.00,
"dnsapi.dll",4,0,0.01,0.00,
"duser.dll",2,0,0.01,0.00,
"Interop.VeconclientProj.dll",31,0,0.09,0.00,
"knb3rdhmpg.dll",6,0,0.02,0.00,
"msctfuimanager.dll",33,0,0.09,0.00,
"nlaapi.dll",1,0,0.00,0.00,
"pnrpnsp.dll",1,0,0.00,0.00,
"System.Management.ni.dll",5,0,0.01,0.00,
"UIAnimation.dll",1,0,0.00,0.00,
"UIAutomationCore.dll",4,0,0.01,0.00,
"VeconClientProj.ocx",33,0,0.09,0.00,
"wbemcomn.dll",3,0,0.01,0.00,
"wbemprox.dll",13,0,0.04,0.00,
"wbemsvc.dll",1,0,0.00,0.00,
"WMINet_Utils.dll",17,0,0.05,0.00,
"ZBYGate Data Collection.exe","5,804",0,16.64,0.00,
