16:43:21.206  connect 192.168.1.98 fail!
16:43:21.212  192.168.1.98接口函数获取网卡IP为: 192.168.1.250
16:43:21.216  192.168.1.98:bind 10005 port fail, ret = 10049, hsdk_socket->port = 10005
16:43:21.220  192.168.1.98:bind 10015 port fail, ret = 10049, hsdk_socket->port = 10015
16:43:21.223  192.168.1.98:bind 10025 port fail, ret = 10049, hsdk_socket->port = 10025
16:43:21.227  192.168.1.98:bind 10035 port fail, ret = 10049, hsdk_socket->port = 10035
16:43:21.230  192.168.1.98:bind 10045 port fail, ret = 10049, hsdk_socket->port = 10045
16:43:21.234  192.168.1.98:bind 10055 port fail, ret = 10049, hsdk_socket->port = 10055
16:43:21.238  192.168.1.98:bind 10065 port fail, ret = 10049, hsdk_socket->port = 10065
16:43:21.242  192.168.1.98:bind 10075 port fail, ret = 10049, hsdk_socket->port = 10075
16:43:21.245  192.168.1.98:bind 10085 port fail, ret = 10049, hsdk_socket->port = 10085
16:43:21.249  192.168.1.98:bind 10095 port fail, ret = 10049, hsdk_socket->port = 10095
16:43:21.252  192.168.1.98:bind 10105 port fail, ret = 10049, hsdk_socket->port = 10105
16:43:21.256  192.168.1.98:bind 10115 port fail, ret = 10049, hsdk_socket->port = 10115
16:43:21.259  192.168.1.98:bind 10125 port fail, ret = 10049, hsdk_socket->port = 10125
16:43:21.262  192.168.1.98:bind 10135 port fail, ret = 10049, hsdk_socket->port = 10135
16:43:21.266  192.168.1.98:bind 10145 port fail, ret = 10049, hsdk_socket->port = 10145
16:43:21.270  192.168.1.98:bind 10155 port fail, ret = 10049, hsdk_socket->port = 10155
16:43:21.273  192.168.1.98:bind 10165 port fail, ret = 10049, hsdk_socket->port = 10165
16:43:21.276  192.168.1.98:bind 10175 port fail, ret = 10049, hsdk_socket->port = 10175
16:43:21.280  192.168.1.98:bind 10185 port fail, ret = 10049, hsdk_socket->port = 10185
16:43:21.284  192.168.1.98:bind 10195 port fail, ret = 10049, hsdk_socket->port = 10195
16:43:21.287  192.168.1.98:bind 10205 port fail, ret = 10049, hsdk_socket->port = 10205
16:43:21.291  192.168.1.98:bind 10215 port fail, ret = 10049, hsdk_socket->port = 10215
16:43:21.294  192.168.1.98:bind 10225 port fail, ret = 10049, hsdk_socket->port = 10225
16:43:21.298  192.168.1.98:bind 10235 port fail, ret = 10049, hsdk_socket->port = 10235
16:43:21.302  192.168.1.98:bind 10245 port fail, ret = 10049, hsdk_socket->port = 10245
